,x pos,x neg,y pos,y neg,z pos,z neg
0,1.01,-0.94,1.01,-1.00,1.05,-0.96
1,1.02,-0.95,1.01,-1.00,1.04,-0.98
2,1.01,-0.95,1.00,-1.00,1.04,-0.97
3,1.02,-0.96,1.00,-1.00,1.04,-0.96
4,1.02,-0.95,1.01,-1.00,1.04,-0.96
5,1.01,-0.95,1.00,-1.00,1.04,-0.97
6,1.01,-0.95,1.00,-1.00,1.03,-0.96
7,1.02,-0.95,1.01,-1.00,1.04,-0.97
8,1.01,-0.95,1.01,-1.00,1.03,-0.96
9,1.01,-0.95,1.01,-1.00,1.04,-0.96
10,1.01,-0.95,1.01,-1.00,1.03,-0.96
11,1.02,-0.95,1.01,-1.00,1.04,-0.96
12,1.01,-0.95,1.01,-1.00,1.03,-0.96
13,1.01,-0.96,1.00,-1.00,1.04,-0.97
14,1.01,-0.95,1.00,-1.00,1.03,-0.96
15,1.01,-0.96,1.00,-1.00,1.03,-0.97
16,1.02,-0.95,1.01,-0.99,1.04,-0.96
17,1.01,-0.95,1.02,-1.00,1.03,-0.97
18,1.01,-0.95,1.01,-1.00,1.03,-0.96
19,1.01,-0.95,1.00,-1.00,1.04,-0.97
20,1.02,-0.95,1.00,-0.99,1.04,-0.97
21,1.01,-0.95,1.01,-1.00,1.04,-0.96
22,1.01,-0.95,1.00,-1.00,1.04,-0.97
23,1.01,-0.95,1.01,-1.00,1.04,-0.96
24,1.01,-0.95,1.01,-1.00,1.03,-0.95
25,1.08,-0.95,1.01,-1.00,1.04,-0.95
26,1.01,-0.95,1.00,-1.00,1.04,-0.96
27,1.01,-0.96,1.00,-1.00,1.04,-0.95
28,1.01,-0.95,1.01,-1.01,1.03,-0.97
29,1.01,-0.95,1.01,-1.00,1.03,-0.96
30,1.01,-0.95,1.00,-1.00,1.04,-0.96
31,1.01,-0.95,1.00,-1.00,1.04,-0.97
32,1.02,-0.96,1.00,-1.00,1.05,-0.96
33,1.01,-0.96,1.01,-1.00,1.04,-0.95
34,1.02,-0.95,1.01,-1.00,1.04,-0.96
35,1.01,-0.95,1.00,-1.00,1.03,-0.96
36,1.01,-0.95,1.00,-1.00,1.03,-0.96
37,1.01,-0.95,1.00,-1.00,1.04,-0.96
38,1.01,-0.95,1.00,-1.00,1.03,-0.96
39,1.01,-0.96,1.00,-1.00,1.03,-0.96
40,1.02,-0.95,1.00,-1.00,1.04,-0.96
41,1.02,-0.95,1.01,-1.00,1.04,-0.96
42,1.00,-0.95,1.00,-1.00,1.03,-0.97
43,1.02,-0.96,1.00,-1.00,1.03,-0.97
44,1.01,-0.95,1.00,-1.01,1.04,-0.96
45,1.01,-0.96,1.01,-1.00,1.04,-0.96
46,1.01,-0.95,1.00,-1.00,1.04,-0.96
47,1.01,-0.95,1.01,-1.00,1.04,-0.96
48,1.02,-0.95,1.00,-1.00,1.03,-0.96
49,1.02,-0.95,1.00,-1.00,1.04,-0.97
50,1.01,-0.96,1.00,-1.00,1.03,-0.98
51,1.02,-0.95,1.00,-1.00,1.03,-0.96
52,1.02,-0.95,1.00,-0.99,1.04,-0.96
53,1.01,-0.95,1.00,-0.99,1.05,-0.96
54,1.01,-0.96,1.00,-0.99,1.03,-0.96
55,1.01,-0.95,1.01,-0.99,1.03,-0.97
56,1.01,-0.95,1.01,-1.00,1.04,-0.96
57,1.01,-0.96,1.00,-1.00,1.03,-0.96
58,1.02,-0.95,1.01,-1.00,1.03,-0.97
59,1.01,-0.95,1.00,-1.00,1.04,-0.96
60,1.02,-0.95,1.01,-1.00,1.04,-0.96
61,1.01,-0.95,1.01,-1.00,1.04,-0.95
62,1.02,-0.96,1.00,-1.00,1.03,-0.96
63,1.01,-0.96,1.01,-1.01,1.04,-0.96
64,1.02,-0.95,1.00,-1.00,1.04,-0.96
65,1.02,-0.95,1.01,-0.99,1.04,-0.96
66,1.01,-0.95,1.00,-1.00,1.03,-0.96
67,1.02,-0.95,1.00,-1.00,1.04,-0.96
68,1.02,-0.96,1.01,-1.00,1.04,-0.96
69,1.01,-0.95,1.00,-1.00,1.04,-0.96
70,1.01,-0.95,1.00,-1.00,1.04,-0.96
71,1.01,-0.95,1.00,-1.00,1.04,-0.97
72,1.02,-0.95,1.00,-1.00,1.04,-0.96
73,1.01,-0.95,1.01,-1.00,1.04,-0.97
74,1.01,-0.95,1.01,-1.00,1.04,-0.97
75,1.01,-0.95,1.01,-1.00,1.02,-0.96
76,1.01,-0.95,1.00,-1.01,1.03,-0.96
77,1.01,-0.95,1.00,-1.00,1.04,-0.96
78,1.02,-0.95,1.00,-1.00,1.03,-0.97
79,1.00,-0.93,1.00,-1.00,1.03,-0.96
80,1.02,-0.93,1.01,-1.00,1.04,-0.95
81,1.02,-0.93,1.00,-1.00,1.04,-0.96
82,1.00,-0.94,1.01,-1.00,1.03,-0.96
83,1.02,-0.94,1.00,-1.00,1.03,-0.97
84,1.01,-0.93,1.01,-1.00,1.03,-0.95
85,1.02,-0.94,1.00,-1.00,1.04,-0.96
86,1.02,-0.93,1.01,-1.00,1.04,-0.96
87,1.01,-0.93,1.01,-1.00,1.04,-0.96
88,1.01,-0.94,1.01,-1.00,1.04,-0.96
89,1.02,-0.93,1.01,-1.00,1.03,-0.96
90,1.01,-0.93,1.00,-1.00,1.05,-0.95
91,1.02,-0.94,1.00,-1.00,1.03,-0.96
92,1.02,-0.93,1.01,-1.00,1.04,-0.96
93,1.01,-0.94,1.01,-1.00,1.04,-0.96
94,1.02,-0.94,1.00,-1.00,1.04,-0.96
95,1.02,-0.94,1.01,-1.00,1.03,-0.96
96,1.02,-0.93,1.00,-1.00,1.04,-0.97
97,1.03,-0.93,1.01,-1.00,1.03,-0.96
98,1.02,-0.94,1.00,-0.99,1.04,-0.96
99,1.03,-0.95,1.00,-1.00,1.03,-0.96
