0;1;2;3;4;5;6
0;0.94;3.1;3.06;4.07;5.09;5.97
0;0.92;2.55;2.95;4.02;5.53;5.84
-0.01;0.91;3.19;2.89;4.32;5.21;6.11
-0.02;0.9;2.89;2.71;4.33;5.3;5.41
-0.03;0.9;2.99;2.84;4.34;5.36;5.89
-0.03;0.91;3.05;2.82;4.27;4.78;5.84
-0.03;0.91;2.85;2.87;4.59;5.77;5.75
-0.02;0.9;2.9;2.7;4.45;5.49;5.79
-0.01;0.9;2.86;3.02;4.48;5.56;5.96
-0.01;0.9;2.83;2.9;4.53;5.51;5.77
-0.02;0.89;2.67;3.14;4.45;4.88;6.22
-0.02;0.9;3.01;2.96;4.22;5.34;5.82
-0.02;0.91;2.54;2.7;4.4;5.16;5.36
-0.03;0.92;3.11;2.63;4.33;5.04;5.84
-0.04;0.92;2.8;2.95;4.73;4.99;6.14
-0.04;0.92;2.97;2.98;4.38;5.13;5.53
-0.04;0.93;2.63;3.02;4.54;5.24;5.8
-0.04;0.94;3.04;2.89;4.26;5.32;6.31
-0.03;0.94;3.13;2.77;4.35;5.15;5.7
-0.03;0.95;3.13;2.89;4.51;5.34;5.63
-0.04;0.96;3.16;3.06;4.42;4.98;5.9
-0.04;0.97;2.74;2.95;4.34;5.32;5.85
-0.04;0.97;3.1;2.68;4.13;5.12;5.71
-0.04;0.97;2.99;2.83;3.87;5.37;6.06
-0.04;0.97;3.14;2.74;4.72;5.03;6.11
-0.05;0.97;2.8;3.12;4.64;5.05;5.68
-0.05;0.97;2.8;3.06;4.07;5.1;5.93
-0.04;0.97;3.09;2.78;4.64;5.12;5.62
-0.06;0.96;2.82;2.67;4.19;5.25;6.08
-0.05;0.95;2.77;3.01;4.61;4.97;5.7
-0.02;0.94;2.73;2.77;4.55;4.89;5.68
-0.01;0.93;2.75;2.98;4.66;5.51;5.7
-0.02;0.93;2.27;2.98;4.5;5.15;5.76
-0.03;0.93;2.65;2.67;4.26;5.5;5.86
-0.04;0.92;3.03;2.89;4.67;5.1;5.87
-0.09;0.92;2.94;3.01;4.2;5.13;6.03
-0.15;0.92;3.13;2.94;4.26;5.12;5.69
-0.18;0.91;2.84;3.02;4.34;4.9;5.9
-0.17;0.91;2.77;2.91;4.3;5.02;6.34
-0.16;0.91;3.3;3.17;4.5;5.17;5.96
-0.17;0.92;3.3;2.88;4.32;5.39;5.89
-0.17;0.93;3.17;3.19;4.1;5.27;5.84
-0.17;0.93;2.89;3.06;4.36;5.11;5.95
-0.18;0.93;2.91;3.12;4.28;5.02;5.71
